"No.","Time","Source","Destination","Protocol","Length","Info"
"3498","12.904935141","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3499","12.904935156","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3500","12.904935172","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3501","12.904935188","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3502","12.904935203","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3503","12.904958876","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3504","12.904958904","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3505","12.904958921","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3506","12.904958938","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3507","12.904958955","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3508","12.904958978","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3509","12.904958994","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3510","12.905025025","192.168.43.128","203.75.52.144","QUIC","77","Protected Payload (KP0), DCID=fd83e96b788e7d59"
"3511","12.908170829","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3512","12.908171038","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3513","12.908171073","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3514","12.908224222","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3515","12.908224254","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3516","12.908224271","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
"3517","12.908224287","203.75.52.144","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=63d66f"
